marca,nome,preco_antigo,centavos_antigo,preco_atual,centavos_atual,avaliacao,quantidade_avaliacoes
,Tênis Masculino Esportes P/ Academia Caminhada Corrida Preto,99,99,68,99,5.0,(2)
,Tênis Esportivo Ultrabr Run,89,90,8,74,,
OLYMPIKUS,Olympikus Treino Proof 3 Masculino Adultos,333,17,199,90,4.0,(1)
POLO JOY,Tenis Masculino Polo Joy Esporte Promoção Caminhada Academia,78,90,7,67,4.5,(15)
OLYMPIKUS,Tênis Olympikus Masculino Diffuse 5 43733260,299,,28,,,
MIZUNO,Mizuno Victory RSP Masculino Adultos,452,90,384,96,4.8,(64)
ON RUNNING,Tênis On Running Cloudgo Shale,699,90,69,99,5.0,(15)
ZEUZ,Tênis Masculino Esportivo Caminhada Academia Musculação Leve,79,,7,,4.5,(26)
SKECHERS,Tênis Skechers Max Cushioning Delta Relief Masculino Corrida,749,90,381,63,4.8,(47)
,Tênis Masculino Mcs L V Importado Vietnã Rápido Envio,329,99,296,99,4.6,(17)
SAPATOFRAN,Kit 2 Tênis Masculino Running Treino Academia Leve + Relógio,199,90,155,92,5.0,(1)
OLYMPIKUS,Olympikus Casual Mood Masculino Adultos,199,,19,,4.8,(5135)
STREET WALKER,Kit 2 Tenis Masculino Academia Treino Caminhada Leve+ Brinde,169,90,144,41,4.7,(3)
ASICS,Tênis Asics Novablast 5 - Masculino - Roxo Com Vermelho,999,,99,,5.0,(1)
,Tênis Esportivo Confort Fitness Academia Corrida Cinza,68,90,22,97,,
AVURA,Tenis  Jogging Sport Treino Grafite Laranja,89,99,8,75,,
HOKA,Hoka Clifton 8 Masculino Adultos,1.099,91,989,99,4.3,(3)
FILA,Tênis Fila Fire Cinza E Preto,312,85,31,29,4.8,(4)
,Kit Tênis Relógio Esportivo Masculino Feminino Academia Leve,159,90,99,13,5.0,(1)
OLYMPIKUS,Tênis Olympikus Masculino Esportivo Casual Academia Corrida,199,90,129,93,,
ON RUNNING,Tênis On Cloudtilt Masculino - Preto / Branco Ivory,1.049,,104,,5.0,(1)
SKECHERS,Tenis Skechers Go Walk Flex - Hands Up Marinho,391,73,37,98,5.0,(1)
,Lançamento Moda Basquete Lv Trainer Luxo Premium 34 Ao 43,229,90,32,84,5.0,(4)
ASCENSION,Tênis Masculino Confortável Anti-impacto Ortopédico Barato,144,90,123,16,5.0,(1)
,Tênis Esportivo Confort Fitness Academia Anti-impacto Azul,64,99,21,66,,
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,379,99,284,99,4.8,(122)
FILA,Tênis Fila Maxximus Masculino Original,555,55,318,75,,
,Tênis Masculino Corrida Caminhada Academia Macio Barato Top,51,90,49,30,4.4,(4468)
,Tenis Urbano Academia Caminhada Uso Diario,73,99,7,19,4.4,(76)
OLDSEN,Kit 3 Tenis Masculino Casual Esportivo Confortável Academia,299,90,197,93,4.0,(4)
OLYMPIKUS,Olympikus CORRIDA Reverso 2 Masculino Adultos,379,99,284,99,4.8,(122)
NEW SPEED,Tenis Masculino Bege Dia A Dia Promoção Black Friday Natal,189,90,31,65,,
,Tênis Esportivo Confort Fitness Academia Anti-impacto Preto,68,90,22,97,,
,Tenis Esportivo Masculino Caminhada Treino Academia Conforto,109,,36,,4.6,(14)
